OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,Current
147,4,LAKESIDE,JESZ04,1070.00
143,6,KIAN TECK,JWSZ06,40.00
152,9,JURONG WEST CENTRAL,JWSZ09,63760.00
144,7,SAFTI,JWSZ07,
146,4,TAMAN JURONG,JWSZ04,39920.00
177,3,HONG KAH,JWSZ03,53890.00
187,1,WENYA,JWSZ01,8280.00
193,8,YUNNAN,JWSZ08,67500.00
158,5,CHIN BEE,JWSZ05,
172,2,BOON LAY PLACE,JWSZ02,29340.00
132,3,BOON KENG,KLSZ03,11790.00
68,5,TANJONG RHU,KLSZ05,11110.00
82,4,KAMPONG BUGIS,KLSZ04,920.00
105,2,GEYLANG BAHRU,KLSZ02,11280.00
100,9,CRAWFORD,KLSZ09,8380.00
109,1,BENDEMEER,KLSZ01,37570.00
126,6,LAVENDER,KLSZ06,9690.00
133,8,KALLANG BAHRU,KLSZ08,20.00
131,7,KAMPONG JAVA,KLSZ07,10530.00
297,1,LIM CHU KANG,LKSZ01,110.00
318,1,MANDAI WEST,MDSZ01,
278,3,MANDAI ESTATE,MDSZ03,2090.00
303,2,MANDAI EAST,MDSZ02,
13,1,MARINA EAST,MESZ01,
1,1,MARINA SOUTH,MSSZ01,
50,4,EAST COAST,MPSZ04,
103,3,MARINE PARADE,MPSZ03,26880.00
44,5,MARINA EAST (MP),MPSZ05,
118,2,KATONG,MPSZ02,9360.00
69,1,MOUNTBATTEN,MPSZ01,9980.00
87,2,FORT CANNING,MUSZ02,190.00
57,1,DHOBY GHAUT,MUSZ01,320.00
46,3,BRAS BASAH,MUSZ03,10.00
121,3,NEWTON CIRCUS,NTSZ03,250.00
81,1,ORANGE GROVE,NTSZ01,1790.00
76,5,MONK'S HILL,NTSZ05,1030.00
73,4,CAIRNHILL,NTSZ04,3880.00
84,6,ISTANA NEGARA,NTSZ06,60.00
127,2,GOODWOOD PARK,NTSZ02,1260.00
302,1,NORTH-EASTERN ISLANDS,NESZ01,50.00
155,5,MOUNT PLEASANT,NVSZ05,690.00
110,1,BALESTIER,NVSZ01,32430.00
195,4,DUNEARN,NVSZ04,3960.00
107,3,MALCOLM,NVSZ03,2950.00
165,2,MOULMEIN,NVSZ02,9300.00
83,2,BOULEVARD,ORSZ02,410.00
102,1,TANGLIN,ORSZ01,370.00
53,3,SOMERSET,ORSZ03,140.00
2,1,PEARL'S HILL,OTSZ01,6120.00
39,4,CHINA SQUARE,OTSZ04,1430.00
34,2,PEOPLE'S PARK,OTSZ02,290.00
36,3,CHINATOWN,OTSZ03,10490.00
258,4,PASIR RIS PARK,PRSZ04,7620.00
216,2,PASIR RIS WEST,PRSZ02,35790.00
229,6,LOYANG WEST,PRSZ06,220.00
265,1,PASIR RIS WAFER FAB PARK,PRSZ01,10.00
232,8,FLORA DRIVE,PRSZ08,14680.00
244,7,LOYANG EAST,PRSZ07,2140.00
254,3,PASIR RIS CENTRAL,PRSZ03,32240.00
246,5,PASIR RIS DRIVE,PRSZ05,54420.00
201,1,PAYA LEBAR NORTH,PLSZ01,30.00
256,5,PLAB,PLSZ05,
209,3,PAYA LEBAR WEST,PLSZ03,
179,4,AIRPORT ROAD,PLSZ04,
235,2,PAYA LEBAR EAST,PLSZ02,10.00
93,3,BENOI SECTOR,PNSZ03,10.00
79,5,PIONEER SECTOR,PNSZ05,
94,2,GUL CIRCLE,PNSZ02,20.00
112,1,JOO KOON,PNSZ01,30.00
86,4,GUL BASIN,PNSZ04,10.00
319,7,CONEY ISLAND,PGSZ07,
267,5,WATERWAY EAST,PGSZ05,50580.00
266,3,MATILDA,PGSZ03,52200.00
312,6,PUNGGOL CANAL,PGSZ06,
310,2,PUNGGOL TOWN CENTRE,PGSZ02,22260.00
277,1,NORTHSHORE,PGSZ01,460.00
263,4,PUNGGOL FIELD,PGSZ04,48960.00
49,6,MEI CHIN,QTSZ06,15570.00
11,12,KENT RIDGE,QTSZ12,80.00
10,7,QUEENSWAY,QTSZ07,270.00
9,13,PASIR PANJANG 1,QTSZ13,4510.00
51,11,NATIONAL UNIVERSITY OF S'PORE,QTSZ11,240.00
30,14,PASIR PANJANG 2,QTSZ14,3060.00
71,10,DOVER,QTSZ10,11080.00
56,15,PORT,QTSZ15,120.00
125,1,GHIM MOH,QTSZ01,13850.00
101,5,MARGARET DRIVE,QTSZ05,16090.00
129,9,SINGAPORE POLYTECHNIC,QTSZ09,100.00
70,3,COMMONWEALTH,QTSZ03,7000.00
67,8,ONE NORTH,QTSZ08,720.00
119,2,HOLLAND DRIVE,QTSZ02,12680.00
64,4,TANGLIN HALT,QTSZ04,10590.00
47,4,OXLEY,RVSZ04,1490.00
60,2,PATERSON,RVSZ02,240.00
14,5,INSTITUTION HILL,RVSZ05,3150.00
52,1,ONE TREE HILL,RVSZ01,2070.00
55,3,LEONIE HILL,RVSZ03,3120.00
66,3,SUNGEI ROAD,RCSZ03,2050.00
120,1,FARRER PARK,RCSZ01,2660.00
54,9,BENCOOLEN,RCSZ09,1310.00
59,10,VICTORIA,RCSZ10,1760.00
99,4,ROCHOR CANAL,RCSZ04,
97,8,SELEGIE,RCSZ08,210.00
